ID,team_id,country,team_code,confederation_name,region_name,tournament_id,tournament_name,year,matches_played,total_goals,stage_reached,hist_avg_goals,hist_total_goals,hist_appearances,hist_avg_matches,hist_last_goals,hist_last3_avg_goals,conf_year_avg_goals,conf_avg_goals,conf_size,confederation_encoded,region_encoded,country_encoded,stage_encoded,hist_momentum,hist_consistency,goals_per_match,hist_goals_per_match,is_host,conf_strength_vs_era
WC-1982_DZA,T-01,Algeria,DZA,Confederation of African Football,Africa,WC-1982,1982 FIFA Men's World Cup,1982,3,5,group stage,3.499206349206349,0,0,3.3259920634920634,3.1944444444444446,3.398148148148148,3.0,3.204081632653061,2,1,0,0,0,0,1.7966456998631248,1.6666666666666667,0.0,0,-3.083333333333333
WC-1986_DZA,T-01,Algeria,DZA,Confederation of African Football,Africa,WC-1986,1986 FIFA Men's World Cup,1986,3,1,group stage,5.0,5,1,3.0,5.0,5.0,2.0,3.204081632653061,2,1,0,0,0,0,1.7966456998631248,0.3333333333333333,5.0,0,-3.5
WC-2010_DZA,T-01,Algeria,DZA,Confederation of African Football,Africa,WC-2010,2010 FIFA Men's World Cup,2010,3,0,group stage,3.0,6,2,3.0,1.0,3.0,2.8333333333333335,3.204081632653061,6,1,0,0,0,-4,2.8284271247461903,0.0,3.0,0,-1.6979166666666665
WC-2014_DZA,T-01,Algeria,DZA,Confederation of African Football,Africa,WC-2014,2014 FIFA Men's World Cup,2014,4,7,round of 16,2.0,6,3,3.0,0.0,2.0,3.8,3.204081632653061,5,1,0,0,2,-1,2.6457513110645907,1.75,2.0,0,-1.5437500000000002
WC-2006_AGO,T-02,Angola,AGO,Confederation of African Football,Africa,WC-2006,2006 FIFA Men's World Cup,2006,3,1,group stage,3.499206349206349,0,0,3.3259920634920634,3.1944444444444446,3.398148148148148,2.8,3.204081632653061,5,1,0,1,0,0,1.7966456998631248,0.3333333333333333,0.0,0,-1.7937500000000002
WC-1930_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,5,18,final,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,2,6,0,4.969305233896636,3.6,0.0,0,1.0439560439560438
WC-1934_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1934,1934 FIFA Men's World Cup,1934,1,2,round of 16,18.0,18,1,5.0,18.0,18.0,1.5,6.921348314606742,2,4,9,2,2,0,4.969305233896636,2.0,18.0,0,-2.875
WC-1958_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1958,1958 FIFA Men's World Cup,1958,3,5,group stage,10.0,20,2,3.0,2.0,10.0,10.0,6.921348314606742,3,4,9,2,0,-16,11.313708498984761,1.6666666666666667,10.0,0,2.125
WC-1962_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1962,1962 FIFA Men's World Cup,1962,3,2,group stage,8.333333333333334,25,3,3.0,5.0,8.333333333333334,7.0,6.921348314606742,5,4,9,2,0,3,8.504900548115382,0.6666666666666666,8.333333333333334,0,1.4375
WC-1966_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1966,1966 FIFA Men's World Cup,1966,4,4,quarter-finals,6.75,27,4,3.0,2.0,3.0,3.0,6.921348314606742,4,4,9,2,3,-3,7.632168761236874,1.0,6.75,0,-2.5625
WC-1974_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1974,1974 FIFA Men's World Cup,1974,6,9,second group stage,6.2,31,5,3.2,4.0,3.6666666666666665,4.25,6.921348314606742,4,4,9,2,1,2,6.723094525588644,1.5,6.2,0,-1.8125
WC-1978_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1978,1978 FIFA Men's World Cup,1978,7,15,final,6.666666666666667,40,6,3.6666666666666665,9.0,5.0,10.666666666666666,6.921348314606742,3,4,9,2,6,5,6.121002096606949,2.142857142857143,6.666666666666667,1,4.291666666666666
WC-1982_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1982,1982 FIFA Men's World Cup,1982,5,8,second group stage,7.857142857142857,55,7,4.142857142857143,15.0,9.333333333333334,7.0,6.921348314606742,4,4,9,2,1,6,6.414269805898185,1.6,7.857142857142857,0,0.916666666666667
